ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002015","Mel285","Eye","Ocular Melanoma","Uveal Melanoma","UM",-0.0176983780118324,FALSE,"HLX"
"ACH-002016","Mel290","Eye","Ocular Melanoma","Uveal Melanoma","UM",0.0911140708957411,FALSE,"HLX"
"ACH-002017","Omm1","Eye","Ocular Melanoma","Uveal Melanoma","UM",NA,FALSE,"HLX"
"ACH-002018","Omm2.5","Eye","Ocular Melanoma","Uveal Melanoma","UM",-0.0466116262040527,FALSE,"HLX"
"ACH-002019","HOKUG","Cervix","Glassy Cell Carcinoma of the Cervix","Glassy Cell Carcinoma of the Cervix","CEGCC",0.0944472633515872,FALSE,"HLX"
"ACH-002020","SKG-IIIa","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","CESC",0.0362403216388313,FALSE,"HLX"
"ACH-002021","T3M-3","Uterus","Gestational Trophoblastic Disease","Choriocarcinoma","UCCA",0.09394263341203,FALSE,"HLX"
"ACH-002023","TGBC18TKB","Ampulla of Vater","Ampullary Carcinoma","Ampullary Carcinoma","AMPCA",-0.0164815676711619,FALSE,"HLX"
"ACH-002024","ECC4","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ",-0.17058636619118,FALSE,"HLX"
"ACH-002025","TT1TKB","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ",0.262433534977658,FALSE,"HLX"
"ACH-002026","HHUA","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","UCEC",-0.00828713631356122,FALSE,"HLX"
"ACH-002027","HOUA-I","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","UCEC",0.0477371127351398,FALSE,"HLX"
"ACH-002029","SAS","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",0.00848881245504594,FALSE,"HLX"
"ACH-002030","Sa3","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",0.020208337581418,FALSE,"HLX"
"ACH-002033","HMMME","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",0.00649557030121422,FALSE,"HLX"
"ACH-002034","T3M-11","Lung","Non-Small Cell Lung Cancer","NUT Carcinoma of the Lung","NUTCL",NA,FALSE,"HLX"
"ACH-002035","LCAM1","Lung","Non-Small Cell Lung Cancer","Poorly Differentiated Non-Small Cell Lung Cancer","NSCLCPD",0.184303030997539,FALSE,"HLX"
"ACH-002036","WA-hT","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002038","HSKTC","Ovary/Fallopian Tube","Ovarian Cancer, Other","Ovarian Cancer, Other","OOVC",NA,FALSE,"HLX"
"ACH-002039","PK-8","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",0.0239145049571649,FALSE,"HLX"
"ACH-002040","HMV-II","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","VMM",-0.106503411631112,FALSE,"HLX"
"ACH-002041","HOTHC","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","THAP",-0.0940108120968541,FALSE,"HLX"
"ACH-002042","T3M-5","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","HNSC",0.070943654430371,FALSE,"HLX"
"ACH-002043","Ca9-22","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-0.0234948822317943,FALSE,"HLX"
"ACH-002044","HSQ-89","Head and Neck","Head and Neck Squamous Cell Carcinoma","Sinonasal Squamous Cell Carcinoma","SNSC",0.0379459889258363,FALSE,"HLX"
"ACH-002045","HO-1-u-1","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-0.0372181423526459,FALSE,"HLX"
"ACH-002046","HTMMT","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","UCS",0.000138422561958909,FALSE,"HLX"
