ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002979","CCLF_UPGI_0101_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","DSTAD",NA,FALSE,"HMGCR"
"ACH-002981","CCLF_UPGI_0027_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-002994","WSU-AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"HMGCR"
"ACH-002996","CI34601","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC",NA,FALSE,"HMGCR"
"ACH-003012","A549_CRAF_KD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-1.02136471634561,FALSE,"HMGCR"
"ACH-003019","LASCPC-01","Prostate","Prostate Neuroendocrine Carcinoma","Prostate Neuroendocrine Carcinoma","PRNE",NA,FALSE,"HMGCR"
"ACH-003061","NCI-H774","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HMGCR"
"ACH-003071","NCI-H748","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HMGCR"
"ACH-003099","UCSF-OT-1109","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",NA,FALSE,"HMGCR"
"ACH-003100","EJ-1","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS",NA,FALSE,"HMGCR"
"ACH-003101","Z-119","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1","BLLBCRABL1",NA,FALSE,"HMGCR"
"ACH-003103","Z-181","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1","BLLBCRABL1",NA,FALSE,"HMGCR"
"ACH-003105","VMM917","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HMGCR"
"ACH-003106","RC","Lymphoid","Mature B-Cell Neoplasms","Germinal Center B-Cell Type","GCB",NA,FALSE,"HMGCR"
"ACH-003107","JMP-1","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","MCL",NA,FALSE,"HMGCR"
"ACH-003108","HF","Lymphoid","Mature B-Cell Neoplasms","Germinal Center B-Cell Type","GCB",NA,FALSE,"HMGCR"
