group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"group4_beta","wnt_beta",109,21,-0.0955834983827497,0.00917431192660545,0.94955913195408,0.94955913195408
"group4_gamma","shh_alpha",119,65,0.362847195660869,0.375307045895281,2.64716462701209e-05,0.000109195540864249
"group4_gamma","shh_beta",119,35,0.411292417626409,0.530852340936375,1.89704673192459e-06,9.11609698204887e-06
"group4_gamma","shh_delta",119,76,0.59047760757988,0.658668730650155,9.32587340685131e-15,3.07753822426093e-13
"group4_gamma","shh_gamma",119,47,-0.119261982610841,-0.0556052208117289,0.578501569632525,0.636351726595778
"group4_gamma","wnt_alpha",119,49,0.116706171551821,0.199794203395644,0.0422597812525569,0.0664082276825894
"group4_gamma","wnt_beta",119,21,0.13575891414963,0.190876350540216,0.164858426417401,0.222054207011193
"shh_alpha","shh_beta",65,35,0.0484452219655402,0.127032967032967,0.298041310552943,0.385700519539103
"shh_alpha","shh_delta",65,76,0.22763041191901,0.270647773279352,0.00572961925148996,0.011817339706198
"shh_alpha","shh_gamma",65,47,-0.48210917827171,-0.327004909983633,0.00326067123183679,0.00768586790361529
"shh_alpha","wnt_alpha",65,49,-0.246141024109049,-0.159183673469388,0.147580738766569,0.202923515804032
"shh_alpha","wnt_beta",65,21,-0.227088281511239,-0.126739926739927,0.387315330141638,0.464778396169965
"shh_beta","shh_delta",35,76,0.17918518995347,0.13421052631579,0.258604170716101,0.341357505345253
"shh_beta","shh_gamma",35,47,-0.53055440023725,-0.472340425531915,0.000275299763881478,0.000825899291644433
"shh_beta","wnt_alpha",35,49,-0.294586246074589,-0.314285714285714,0.0146617972785218,0.0284202973542653
"shh_beta","wnt_beta",35,21,-0.27553350347678,-0.276190476190476,0.0873862073293337,0.128166437416356
"shh_delta","shh_gamma",76,47,-0.70973959019072,-0.555431131019037,2.45889820506783e-07,1.4753389230407e-06
"shh_delta","wnt_alpha",76,49,-0.473771436028059,-0.437164339419979,3.88939380150975e-05,0.000150999994646849
"shh_delta","wnt_beta",76,21,-0.45471869343025,-0.348370927318296,0.0150713698090801,0.0284202973542653
"shh_gamma","wnt_alpha",47,49,0.235968154162661,0.221884498480243,0.0616287188230593,0.0945929172633003
"shh_gamma","wnt_beta",47,21,0.25502089676047,0.246200607902735,0.108232089859021,0.151985487887137
"wnt_alpha","wnt_beta",49,21,0.0190527425978093,0.0262390670553936,0.867678117469317,0.908996123063094
