subtype_a,subtype_b,n_a,n_b,test,statistic,df,median_difference,rank_biserial,direction,p_value,adjusted_p_value
"shh_delta","group3_gamma",76,40,"Wilcoxon rank sum test with continuity correction",708,NA,-0.52263619714585,-0.53421052631579,"A lower rank tendency",2.43421011361756e-06,1.07105244999172e-05
"shh_delta","group4_alpha",76,98,"Wilcoxon rank sum test with continuity correction",1867,NA,-0.393725693435471,-0.498657357679914,"A lower rank tendency",1.76995470802328e-08,1.29796678588374e-07
"shh_delta","group4_beta",76,109,"Wilcoxon rank sum test with continuity correction",1724.5,NA,-0.3591351950475,-0.583655239014969,"A lower rank tendency",1.52872911412319e-11,2.42750645413353e-10
"shh_delta","group4_gamma",76,119,"Wilcoxon rank sum test with continuity correction",1543.5,NA,-0.59047760757988,-0.658668730650155,"A lower rank tendency",9.31118747942637e-15,3.0726918682107e-13
"group3_alpha","group3_beta",67,37,"Wilcoxon rank sum test with continuity correction",1584,NA,0.13134180261364,0.27793465106898,"A higher rank tendency",0.0195058375463957,0.0347941967043815
"group3_alpha","group3_gamma",67,40,"Wilcoxon rank sum test with continuity correction",1922,NA,0.371735094534399,0.434328358208955,"A higher rank tendency",0.000180943642493547,0.000597114020228706
"group3_alpha","group4_alpha",67,98,"Wilcoxon rank sum test with continuity correction",5279,NA,0.500645598244779,0.60798050563509,"A higher rank tendency",3.56230600573326e-11,3.3587456625485e-10
"group3_alpha","group4_beta",67,109,"Wilcoxon rank sum test with continuity correction",5944.5,NA,0.535236096632749,0.627961111871834,"A higher rank tendency",2.84972045960785e-12,6.26938501113727e-11
"group3_alpha","group4_gamma",67,119,"Wilcoxon rank sum test with continuity correction",5774,NA,0.30389368410037,0.4483883105481,"A higher rank tendency",3.98393409595244e-07,2.19116375277384e-06
"group3_beta","group3_gamma",37,40,"Wilcoxon rank sum test with continuity correction",902,NA,0.240393291920759,0.218918918918919,"A higher rank tendency",0.0996404979436365,0.142962453571305
"group3_beta","group4_alpha",37,98,"Wilcoxon rank sum test with continuity correction",2530.5,NA,0.369303795631138,0.395752895752896,"A higher rank tendency",0.000404781000676868,0.00116154548020319
"group3_beta","group4_beta",37,109,"Wilcoxon rank sum test with continuity correction",2870,NA,0.403894294019109,0.423258120505827,"A higher rank tendency",0.000124208730808872,0.000431461907020294
"group3_beta","group4_gamma",37,119,"Wilcoxon rank sum test with continuity correction",2626,NA,0.172551881486729,0.192823075176016,"A higher rank tendency",0.0772985717797494,0.115947857669624
"group3_gamma","group4_alpha",40,98,"Wilcoxon rank sum test with continuity correction",2163,NA,0.128910503710379,0.103571428571429,"A higher rank tendency",0.341953748616951,0.42582919639092
"group3_gamma","group4_beta",40,109,"Wilcoxon rank sum test with continuity correction",2350.5,NA,0.16350100209835,0.078211009174312,"A higher rank tendency",0.466490766115174,0.540147202870201
"group3_gamma","group4_gamma",40,119,"Wilcoxon rank sum test with continuity correction",2218,NA,-0.0678414104340295,-0.0680672268907563,"A lower rank tendency",0.521482117841352,0.59341068581947
"group4_alpha","group4_beta",98,109,"Wilcoxon rank sum test with continuity correction",5190,NA,0.0345904983879706,-0.0282718592023966,"A lower rank tendency",0.726519230291169,0.786069986872412
"group4_alpha","group4_gamma",98,119,"Wilcoxon rank sum test with continuity correction",4554.5,NA,-0.196751914144409,-0.218916137883725,"A lower rank tendency",0.00556759652139662,0.011817339706198
"group4_beta","group4_gamma",109,119,"Wilcoxon rank sum test with continuity correction",5060.5,NA,-0.23134241253238,-0.219720915889292,"A lower rank tendency",0.00419409747615484,0.00929266087963713
