group1,group2,n1,n2,median_difference,rank_biserial,p_value,adjusted_p
"shh_alpha","wnt_alpha",65,49,0.138846312759719,0.235164835164835,0.0322971337184044,0.0453534218173338
"shh_alpha","wnt_beta",65,21,0.412057990755189,0.513553113553114,0.000434323089793187,0.0010616786639389
"shh_beta","shh_delta",35,76,0.431033282429846,0.572932330827068,1.34536627638404e-06,5.22318672007922e-06
"shh_beta","shh_gamma",35,47,0.284632250743531,0.29483282674772,0.023282873237741,0.0349243098566115
"shh_beta","wnt_alpha",35,49,0.317575194951671,0.495626822157434,0.000117400404395562,0.000336888116961179
"shh_beta","wnt_beta",35,21,0.59078687294714,0.757823129251701,2.53937496275114e-06,9.31104153008751e-06
"shh_delta","shh_gamma",76,47,-0.146401031686315,-0.277435610302352,0.00998041364352513,0.0160660317188453
"shh_delta","wnt_alpha",76,49,-0.113458087478175,-0.116541353383459,0.273578168080137,0.316774720934895
"shh_delta","wnt_beta",76,21,0.159753590517294,0.226817042606516,0.113872645739351,0.141803672052777
"shh_gamma","wnt_alpha",47,49,0.0329429442081395,0.171949630916196,0.147746924803624,0.180579574759985
"shh_gamma","wnt_beta",47,21,0.306154622203609,0.479229989868288,0.00173168132633217,0.0035715927355601
"wnt_alpha","wnt_beta",49,21,0.273211677995469,0.337220602526725,0.0266111731298184,0.0390297205904004
