ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000378","NCI-H647","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","LUAS",-0.212458503446128,FALSE,"SLC2A1"
"ACH-000379","NCI-H1781","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000380","KMS-12-BM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"SLC2A1"
"ACH-000381","T84","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-0.961681815677962,FALSE,"SLC2A1"
"ACH-000382","COR-L24","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000383","OE33","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",-0.411253747401218,FALSE,"SLC2A1"
"ACH-000384","SW 780","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",NA,FALSE,"SLC2A1"
"ACH-000385","SK-RC-52","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",-0.0929342447290083,FALSE,"SLC2A1"
"ACH-000386","KG-1","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",NA,FALSE,"SLC2A1"
"ACH-000387","TF-1","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",-0.656879623201631,FALSE,"SLC2A1"
"ACH-000388","NU-DHL-1","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS",NA,FALSE,"SLC2A1"
"ACH-000389","H4","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR",-0.188092563326386,FALSE,"SLC2A1"
"ACH-000390","LUDLU-1","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",-1.16403800304905,FALSE,"SLC2A1"
"ACH-000391","MHH-ES-1","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.344094432738043,FALSE,"SLC2A1"
"ACH-000392","Calu-3","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"SLC2A1"
"ACH-000393","HLF","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-0.334758817155051,FALSE,"SLC2A1"
"ACH-000394","NCI-H2081","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000395","NCI-H520","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",-0.827728266437454,FALSE,"SLC2A1"
"ACH-000396","J82","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",-0.490296075822874,FALSE,"SLC2A1"
"ACH-000397","TEN","Uterus","Endometrial Carcinoma","Uterine Clear Cell Carcinoma","UCCC",-0.302415013333695,FALSE,"SLC2A1"
"ACH-000398","RI-1","Lymphoid","Mature B-Cell Neoplasms","Activated B-cell Type","ABC",-0.285097789260295,FALSE,"SLC2A1"
"ACH-000399","NCI-H2196","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"SLC2A1"
"ACH-000400","SK-CO-1","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"SLC2A1"
"ACH-000401","COLO-800","Skin","Melanoma","Cutaneous Melanoma","SKCM",-0.507802248029765,FALSE,"SLC2A1"
"ACH-000402","BL-70","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL",-0.231649667194435,FALSE,"SLC2A1"
"ACH-000403","NCI-H747","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",0.0227955158345811,FALSE,"SLC2A1"
"ACH-000404","K029AX","Skin","Melanoma","Cutaneous Melanoma","SKCM",-0.0744297468796807,FALSE,"SLC2A1"
"ACH-000405","MEC-1","Lymphoid","Mature B-Cell Neoplasms","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","CLLSLL",-0.308640273309432,FALSE,"SLC2A1"
"ACH-000406","U-937","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML",-0.671150235577512,FALSE,"SLC2A1"
"ACH-000407","SNU-685","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","UCS",-0.314134694555716,FALSE,"SLC2A1"
"ACH-000408","TE-5","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC",-1.11199159437116,FALSE,"SLC2A1"
"ACH-000409","OVSAHO","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",NA,FALSE,"SLC2A1"
"ACH-000410","Saos-2","Bone","Osteosarcoma","Osteosarcoma","OS",-0.582166034347098,FALSE,"SLC2A1"
"ACH-000411","769-P","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC",-0.0930979847582356,FALSE,"SLC2A1"
"ACH-000412","SNU-1197","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",NA,FALSE,"SLC2A1"
"ACH-000413","Hs 739.T","Fibroblast","Non-Cancerous","Fibroblast, Breast","",NA,FALSE,"SLC2A1"
"ACH-000414","NCI-H1944","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",-0.497291656875639,FALSE,"SLC2A1"
"ACH-000415","BICR 6","Head and Neck","Head and Neck Squamous Cell Carcinoma","Hypopharynx Squamous Cell Carcinoma","HPHSC",-0.284988725191891,FALSE,"SLC2A1"
"ACH-000416","NCI-H838","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",0.0123993285564922,FALSE,"SLC2A1"
"ACH-000417","Panc 08.13","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.524061128659617,FALSE,"SLC2A1"
"ACH-000418","SW 1353","Bone","Chondrosarcoma","Chondrosarcoma","CHS",NA,FALSE,"SLC2A1"
"ACH-000419","KMS-28BM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM",NA,FALSE,"SLC2A1"
"ACH-000420","SNU-449","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-0.959616485566143,FALSE,"SLC2A1"
"ACH-000421","SW837","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ",-0.074200171776201,FALSE,"SLC2A1"
"ACH-000422","SNU-475","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",0.0199642072700389,FALSE,"SLC2A1"
"ACH-000423","SK-MEL-3","Skin","Melanoma","Cutaneous Melanoma","SKCM",NA,FALSE,"SLC2A1"
"ACH-000424","TC-71","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",-0.447006027641039,FALSE,"SLC2A1"
